conceptType,conceptUri,code,preferredLabel,greenShare
Occupation,http://data.europa.eu/esco/occupation/0477b9b0-8d2d-4eec-aaad-bac11092e98b,8114.6,productiemedewerker granulaten,0.0
Occupation,http://data.europa.eu/esco/occupation/c453886f-a8f0-434c-be0e-e6a12c49954f,8114.7,steenpolijster,0.0
Occupation,http://data.europa.eu/esco/occupation/a001cf0d-b0eb-420a-a110-9408448ba8b8,8114.8,steensplijter,0.0303030303030303
ISCO level 4,http://data.europa.eu/esco/isco/C8114,8114,"Bedieningspersoneel van machines voor de vervaardiging van cement, stenen en andere minerale producten.",0.01681761221234905
ISCO level 3,http://data.europa.eu/esco/isco/C812,812,Bedieningspersoneel van metaalbewerkings- en metaalverwerkingsinstallaties en van installaties voor de oppervlaktebehandeling van metalen,0.01545588405239368
Occupation,http://data.europa.eu/esco/occupation/25206eaa-04da-4fd6-bac7-173d7eb142dc,8121.1,gieter metaal,0.0
Occupation,http://data.europa.eu/esco/occupation/a0f9903e-2ba5-4b9d-bb0a-a8646db15221,8121.2,operator extrusiemachine,0.0
Occupation,http://data.europa.eu/esco/occupation/57b89801-0e43-4b19-bf29-ef9a51d65155,8121.3,medewerker thermische behandeling metaal,0.0571428571428571
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121.4,operator draadtrekmachine,0.0
Occupation,http://data.europa.eu/esco/occupation/6dbca2aa-f83b-4567-a4e7-b9a21fb948bf,8121.5,metaalwalsbediener,0.0
Occupation,http://data.europa.eu/esco/occupation/c2d5daae-8f8a-45b1-8e76-3284b84ce195,8121.6,verenmaker metaal,0.024390243902439
Occupation,http://data.europa.eu/esco/occupation/7664f3e6-b469-4e1a-b52c-8a7ac866eb5a,8121.7,operator metaalgaasweverij,0.0
ISCO level 4,http://data.europa.eu/esco/isco/C8121,8121,Bedieningspersoneel van metaalbewerkings- en metaalverwerkingsinstallaties,0.011647585863613728
Occupation,http://data.europa.eu/esco/occupation/3c0af499-39f6-4468-9ba4-b13a26d5f888,8122.1,gritstraler,0.024390243902439
Occupation,http://data.europa.eu/esco/occupation/e9f0b7ae-c848-464e-af9d-55eb87a592e0,8122.2,anodiseur,0.0232558139534883
Occupation,http://data.europa.eu/esco/occupation/02b5b7b0-b856-4ac7-924c-8c35c7880b2a,8122.3,coatingmachinebediener,0.0196078431372549
Occupation,http://data.europa.eu/esco/occupation/4b6b09e6-e1f6-46d8-b16a-d3522c367983,8122.4,draaier,0.0192307692307692
Occupation,http://data.europa.eu/esco/occupation/862ed9e5-96ec-410d-a0fd-5206a05a7954,8122.5,afbramer,0.0196078431372549
Occupation,http://data.europa.eu/esco/occupation/ce5b1eb1-5862-4f00-a813-0f90aecd5ef5,8122.6,metaaldompelaar,0.0208333333333333
Occupation,http://data.europa.eu/esco/occupation/bb2933e9-f6ec-4ab0-b2ea-3cc34cf56d18,8122.7,galvaniseur,0.0217391304347826
Occupation,http://data.europa.eu/esco/occupation/066fe11d-10e4-4fec-bd27-3e78797500b9,8122.8,emailleur,0.0
Occupation,http://data.europa.eu/esco/occupation/4f5e4fb1-58bd-4abd-bb06-4af9203a1518,8122.9,vijlmachinebediener,0.0208333333333333
Occupation,http://data.europa.eu/esco/occupation/b322bb4c-bbef-45c2-bd7e-00a97c3ab268,8122.10,metaalspuiter oppervlaktebehandeling,0.0222222222222222
Occupation,http://data.europa.eu/esco/occupation/4a1d28b0-eca5-4c0a-a49d-ce974e7d04ce,8122.11,vlakslijper,0.0204081632653061
Occupation,http://data.europa.eu/esco/occupation/1c5ec3d2-a241-4ba2-ba20-e4da565383a6,8122.12,trommelaar,0.0
ISCO level 4,http://data.europa.eu/esco/isco/C8122,8122,Bedieningspersoneel van installaties voor het bekleden of voor andere oppervlaktebehandelingen van metalen,0.017677391329181984
ISCO level 3,http://data.europa.eu/esco/isco/C813,813,Bedieningspersoneel van machines en installaties voor de vervaardiging van chemische en fotografische producten,0.06593899038113922
Occupation,http://data.europa.eu/esco/occupation/782ced63-e234-42a4-a7bd-a2d9a12ee61a,8131.1,operator capsulevulmachine,0.0
Occupation,http://data.europa.eu/esco/occupation/81f8ea60-41d4-434a-b0fc-f870e83e7e27,8131.2.1,meststoffenmenger,0.176470588235294
Occupation,http://data.europa.eu/esco/occupation/237e21f1-a7fa-4273-91eb-28e7b5d72f60,8131.2.2,lakmaler,0.0625
Occupation,http://data.europa.eu/esco/occupation/8b273f5e-bdc5-4b73-80bd-3e324a20309b,8131.2.3,verfmenger,0.0344827586206896
Occupation,http://data.europa.eu/esco/occupation/165f32b8-756a-4ef3-87f1-83fbbdc60db7,8131.2.4,bereider van bestrijdingsmiddelen,0.07142857142857142
Occupation,http://data.europa.eu/esco/occupation/ee37a4a5-5360-4e94-a749-a2b8ead08500,8131.2.5,explosievenmaker,0.0714285714285714
Occupation,http://data.europa.eu/esco/occupation/c76566f1-97a1-43e9-a7d8-155db0e56987,8131.2.6,vernismaker,0.0588235294117647
Occupation,http://data.europa.eu/esco/occupation/5b3ef95b-7d99-4af9-b2d0-41c6bc33f58c,8131.2,mengselbereider chemie,0.074074074074074
Occupation,http://data.europa.eu/esco/occupation/8f71761e-6fa5-4237-a240-4d0c7feff026,8131.3,vulmachinist cokesoven,0.0
Occupation,http://data.europa.eu/esco/occupation/ff5210a5-2ea9-43b4-bebc-8d565f928eaa,8131.4,machineoperator cosmeticaproductie,0.0
Occupation,http://data.europa.eu/esco/occupation/310ad9e0-ffc9-4980-b47c-1e856a404eff,8131.5,destilleerder,0.0
Occupation,http://data.europa.eu/esco/occupation/1999bdfa-f9c4-4a0b-8565-0305108ca65e,8131.6,droogkamermedewerker pyrotechnische stoffen/droogkamermedewerkster pyrotechnische stoffen,0.0555555555555555
Occupation,http://data.europa.eu/esco/occupation/d3382c5a-589f-453d-a6d8-d28695057079,8131.7,operator vergistingsinstallatie,0.166666666666666
Occupation,http://data.europa.eu/esco/occupation/21a42cfb-68c7-4f84-bdd7-81de07a6fff3,8131.8,operator raffinaderij,0.0
Occupation,http://data.europa.eu/esco/occupation/0dae04a4-fa4c-40d3-8518-122cc0f7bfcf,8131.9,granulatorbediener,0.0
Occupation,http://data.europa.eu/esco/occupation/0d61e7e7-afde-49ca-b554-4633842be030,8131.10,kalkbrander,0.111111111111111
Occupation,http://data.europa.eu/esco/occupation/7c64479f-7a76-49e9-ac42-bd925f2bf99d,8131.11,operator controlekamer mijnbouw,0.0
Occupation,http://data.europa.eu/esco/occupation/30cdbb0a-4f62-4d0e-811c-72e3f95d017b,8131.12,operator nitreerinstallatie,0.111111111111111
Occupation,http://data.europa.eu/esco/occupation/bfdc096e-e450-424d-9340-46968047ed68,8131.13,procesoperator neutralisatie van nitroglycerine,0.0526315789473684
Occupation,http://data.europa.eu/esco/occupation/01da600c-ddb3-4a37-95e9-5301b459ae90,8131.14,operator nitroglycerineseparator,0.125
Occupation,http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc,8131.15,machineoperator chemisch gebonden non-wovens,0.0
Occupation,http://data.europa.eu/esco/occupation/d5ad1da5-cf69-4508-9148-a5338f4ffe0e,8131.16,machineoperator parfumproductie,0.0
Occupation,http://data.europa.eu/esco/occupation/c93d58bd-3aa6-4de4-812d-010542f1dec8,8131.17,operator tabletteermachine,0.0
Occupation,http://data.europa.eu/esco/occupation/3a67544c-919f-4051-b812-c08e69eec3fd,8131.18,zeepperser,0.142857142857142
Occupation,http://data.europa.eu/esco/occupation/29a36f21-da45-4a01-b015-cac4445e5025,8131.19.1,maker van zeepschilfers,0.1
Occupation,http://data.europa.eu/esco/occupation/34c191ec-e3e3-4746-ae10-7ff4306a2794,8131.19.2,zeepdroger,0.111111111111111
Occupation,http://data.europa.eu/esco/occupation/39e06c20-d262-44f9-a6a8-a0f3ba9e887c,8131.19,zeepzieder,0.111111111111111
Occupation,http://data.europa.eu/esco/occupation/c7c3f05b-319b-4aa7-891e-78106f875de2,8131.20,procesoperator zeeppoederproductie,0.105263157894736
Occupation,http://data.europa.eu/esco/occupation/daa6197d-dba6-49b5-8223-b31b7a126e4e,8131.21,wasbleker,0.0
Occupation,http://data.europa.eu/esco/occupation/25eca7d1-e8ea-4f9d-b922-c532d971e17c,8131.22,operator in installaties voor anaerobe gisting,0.368421052631578
ISCO level 4,http://data.europa.eu/esco/isco/C8131,8131,Bedieningspersoneel van machines en installaties voor de chemische industrie,0.07033492307321516
Occupation,http://data.europa.eu/esco/occupation/b4f08f2e-3c97-4484-9094-446a17dad802,8132.1,filmontwikkelaar,0.0
Occupation,http://data.europa.eu/esco/occupation/7180a7be-68cd-4636-8c12-706722ad8862,8132.2,fotolaborant,0.0
ISCO level 4,http://data.europa.eu/esco/isco/C8132,8132,Bedieningspersoneel van machines voor de vervaardiging van fotografische producten,0.0
ISCO level 3,http://data.europa.eu/esco/isco/C814,814,"Bedieningspersoneel van machines voor de vervaardiging van producten van rubber, kunststof of papier",0.020137988761187452
Occupation,http://data.europa.eu/esco/occupation/8d2df08e-0b2e-4837-8096-66595bbaab15,8141.1.1,riemenmaker,0.0
Occupation,http://data.europa.eu/esco/occupation/fcab4bb1-c05b-43e3-98d8-f60b13c152f2,8141.1.2,operator rubberproductie,0.05
Occupation,http://data.europa.eu/esco/occupation/e7ef8a86-6acd-458d-bf48-634b8fd28950,8141.1.3,operator schuimrubber,0.0
Occupation,http://data.europa.eu/esco/occupation/5bf823c5-d3fd-46f6-9577-9331de10759f,8141.1.4,operator rubbersnijmachine,0.0
Occupation,http://data.europa.eu/esco/occupation/df433613-4856-4e50-9be5-7a0ec0f4260a,8141.1.5,operator rubbervormmachine,0.0555555555555555
Occupation,http://data.europa.eu/esco/occupation/0fc6c577-7d5d-4bcd-8ce8-4a4114d6a809,8141.1.6,rubberperser,0.0
Occupation,http://data.europa.eu/esco/occupation/2430774f-d92a-40e4-817d-d03dd5a33207,8141.1.7,bandenmaker,0.0416666666666666
Occupation,http://data.europa.eu/esco/occupation/121bd198-af39-4fac-8249-b384910f7bd7,8141.1.8,vulkaniseerder banden,0.0769230769230769
Occupation,http://data.europa.eu/esco/occupation/e80cee57-3672-4aaf-8ca7-53b90771c364,8141.1.9.1,coveraar V-riemen,0.0
Occupation,http://data.europa.eu/esco/occupation/6ccb925a-264a-4e00-aa3a-503e53c5db2b,8141.1.9.2,operator afwerking V-riemen,0.0
Occupation,http://data.europa.eu/esco/occupation/8edc768c-0bc6-4d65-b559-50f9fb2cc93f,8141.1.9,productiemedewerker V-riemen,0.0
Occupation,http://data.europa.eu/esco/occupation/b0c6f284-f3ed-4820-a62e-4e87869f5a3e,8141.1,operator machine voor rubberproductie,0.0512820512820512
ISCO level 4,http://data.europa.eu/esco/isco/C8141,8141,Bedieningspersoneel van machines voor de vervaardiging van producten van rubber,0.022952279202279185
Occupation,http://data.europa.eu/esco/occupation/8b98dbc3-11f7-4720-86de-dcecee368be1,8142.1,operator blaasvormmachine,0.0606060606060606
Occupation,http://data.europa.eu/esco/occupation/96514fed-b9a9-4df3-ab0b-20676369297d,8142.2,operator matrijzenpers,0.0
Occupation,http://data.europa.eu/esco/occupation/ec238461-93b6-4516-a251-52d1153b53ac,8142.3,operator persgietmachine kunststof,0.0256410256410256
Occupation,http://data.europa.eu/esco/occupation/25f45b01-550c-4d17-b69e-7c5ba57c4218,8142.4,operator lamineren van glasvezel,0.0
Occupation,http://data.europa.eu/esco/occupation/772e57c5-fb25-4b0c-8cc8-f8944a9edfbc,8142.5,machineoperator glasvezel,0.0256410256410256
Occupation,http://data.europa.eu/esco/occupation/88b21b2f-350c-4f41-9680-a53f8ea708ed,8142.6,operator draadwikkelmachine,0.032258064516129
