conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/40802f0d-d400-404c-bc26-f9ba4eb6195a,prestaties van grondsystemen testen,released,skill/competence,sector-specific,,Teststrategieën ontwikkelen voor complexe software- en hardwareproducten; met inbegrip van probleemoplossing en systeemondersteuning; systeemprestaties berekenen.,http://data.europa.eu/esco/skill/ce354460-500e-4eaa-8e95-8f243fcea3db | http://data.europa.eu/esco/skill/6d0cad66-82dd-4854-a03a-68232942c68d,systeemtesten uitvoeren | houten en metalen onderdelen installeren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4095c6dd-3b00-44d1-9308-878e08737e92,voorlichtingsmateriaal samenstellen,released,skill/competence,occupation-specific,voorlichtingsmateriaal creëren,"Ontwerpen van dwingende inhoud zoals blogposts, berichtgeving of socialemediacampagnes om politieke, economische of sociale beslissingen te beïnvloeden.",http://data.europa.eu/esco/skill/0a4c5823-8b09-4e6b-95b4-8036ef3b9c4c,behartigen van individuele en gemeenschapsbelangen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/40c815cd-30a2-42e5-a549-bf9017cb6df3,controlesignalen verdelen,released,skill/competence,sector-specific,controlesignalen distribueren,"De controlesignalen verdelen tussen lichtborden, dimmers en andere verlichtingsapparatuur. De controlesystemen kunnen hetzij DMX, hetzij op basis van een netwerk werken.",http://data.europa.eu/esco/skill/8ddcb295-707e-459c-ba6a-66ffb37835c5,bedienen van audiovisuele apparatuur
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/417d5c34-3261-4e88-a860-d0ac725965bf,realtime geolocatie-informatie verzamelen,released,skill/competence,sector-specific,,"Instrumenten, technieken en procedures gebruiken om een doel op afstand te exploiteren en persistent te maken. Realtime, bruikbare geolocatie-informatie verschaffen met gebruikmaking van doelinfrastructuren. 
   ",http://data.europa.eu/esco/skill/0d6714c6-720e-4985-9791-5ab85d28da79 | http://data.europa.eu/esco/skill/29dcc31e-a8d6-4a62-b3c1-2de81e966e39,gegevens verzamelen | verzamelen van informatie uit fysieke en elektronische bronnen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/417eb6b1-9e5b-4b3a-bfd0-85132c9f648d,video-uitrusting gebruiken voor inspectie van pijpleidingen,released,skill/competence,sector-specific,video-uitrusting voor pijplijnen gebruiken,Mobiele videocamera’s gebruiken die een visuele inspectie van rioleringssystemen en pijpleidingen uitvoeren. Deze camera wordt bevestigd aan de hand van een lange kabelgoot op een lier. De beelden analyseren om na te gaan of reparaties of onderhoud nodig zijn.,http://data.europa.eu/esco/skill/57e6af87-8a6b-4ecb-88e5-7c80b582ddd7,gebruikmaken van precisie-instrumenten en -apparatuur
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/418a56a2-7cfc-4b6d-8cf5-5c2add99a849,training voor ict-systemen aanbieden,released,skill/competence,sector-specific,ict-systemen uitleggen | ict-training aanbieden | ict-training geven | training m.b.t. ict-systemen ontwikkelen | training opzetten en geven over ict-systemen,"Plannen en geven van opleiding aan het personeel op het gebied van systeem- en netwerkkwesties. Gebruik maken van opleidingsmateriaal, de leervooruitgang van stagiairs evalueren en rapporteren.",http://data.europa.eu/esco/skill/699e7c26-6502-4e78-a823-3656ff5a5b8b | http://data.europa.eu/esco/skill/6c4fa8c8-e9e1-49b5-897f-6b61fe649488,anderen onderwijzen | opleiden op het gebied van operationele procedures
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/41be77d3-d683-4221-a0e4-fff732212402,kwaliteit van uitzendingen volgen,released,skill/competence,occupation-specific,kwaliteit van uitzendingen controleren | kwaliteit van uitzendingen monitoren,"De sterkte, duidelijkheid en betrouwbaarheid van inkomende en uitgaande signalen aanpassen om de apparatuur zo nodig aan te passen om de kwaliteit van de uitzending te handhaven.",http://data.europa.eu/esco/skill/35ebe444-9ece-4fbc-a55d-e99ea37267ae | http://data.europa.eu/esco/skill/0a88a13f-693a-4dde-b44c-22e6f98fabc6,kwaliteit beheren | bedienen van communicatieapparatuur
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/41ec47dd-08b3-464a-9c45-c706f3e74467,industriële software,released,knowledge,cross-sector,,"De selectie van software die ter ondersteuning wordt gebruikt bij calculatie, beheer en planning van industriële processen, onder meer ter verbetering van ontwerp, werkstroom en productie.",http://data.europa.eu/esco/isced-f/0611,computergebruik
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/41f2f9bf-1440-49f7-bbb1-2c3c3ea93f76,gevallen van blockchaingebruik analyseren,released,skill/competence,cross-sector,blockchain-gebruiksscenario's evalueren | blockchain-use cases evalueren | blockchain-use cases onderzoeken | onderzoek naar blockchain use cases,"Gevallen van blockchaingebruik analyseren in verschillende sectoren aan de hand van hun behoeften op het gebied van blockchaintechnologie en -architectuur. Met name belangrijke gevallen van blockchaingebruik in het bedrijfsleven, de financiële sector en het bankwezen, zoals internationale betalingen, peer-to-peertransacties, kapitaalmarkten, handelsfinanciering of gereguleerde financiële instellingen en audits.
	",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"digitale gegevens verzamelen, beheren en bewaren"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4216e465-7baa-4884-a241-54b197bb9278,datamining uitvoeren,released,skill/competence,sector-specific,gegevens analyseren | gegevens doorgronden | gegevens onderzoeken | big data onderzoeken om informatie naar boven te halen en bruikbaar te maken | modelgegevens gebruiken,"Grote datasets onderzoeken om patronen aan het licht te brengen aan de hand van statistieken, databasesystemen of kunstmatige intelligentie, en de informatie op een begrijpelijke manier presenteren.",http://data.europa.eu/esco/skill/4463a721-69f3-413d-8321-43e3af13a4f1 | http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"databases gebruiken | digitale gegevens verzamelen, beheren en bewaren"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/42c3287f-5e50-4559-a2d1-2000c70e0aab,Pentaho Data Integration,released,knowledge,sector-specific,,Pentaho Data Integration is een computerprogramma dat door organisaties aangemaakte en beheerde informatie uit meerdere toepassingen integreert in één samenhangende en transparante gegevensstructuur. Het is ontwikkeld door softwarebedrijf Pentaho.,http://data.europa.eu/esco/skill/9d0d89be-bffa-4393-b6f6-8d05bea49051 | http://data.europa.eu/esco/isced-f/0612,"hulpmiddelen voor het extraheren, omzetten en laden van gegevens | ontwerp en beheer van databanken en netwerken"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/42cb7669-c371-4903-9c0b-13db67b2e4bb,opkomende technologieën,released,knowledge,cross-sector,vernieuwende technologieën | robotica | technologische vernieuwing | opkomende trends | recente trends | moderne technologieën,"Recente trends, ontwikkelingen en innovaties in moderne technologieën, waaronder biotechnologie, kunstmatige intelligentie en robotica.",http://data.europa.eu/esco/isced-f/0719,"ingenieursopleiding, niet elders ingedeeld"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/42ed3bfb-1a01-4c8b-9758-fc6438865734,Smalltalk (computerprogrammering),released,knowledge,sector-specific,,"Technieken en beginselen van softwareontwikkeling, waaronder analyse, algoritmes, coderen, testen en ontwerpen van programmeerparadigma's in Smalltalk.",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/isced-f/0613,computerprogrammering | ontwikkeling en analyse van software en toepassingen
